field,value
ticker,NKE
fiscal_year,2026
rev_cagr_5y,0.008216289449518577
rev_cagr_10y,0.036639151001132575
eps_cagr_5y,-0.10045854157324108
eps_cagr_10y,-0.0029075921247805336
oi_cagr_5y,-0.11341091474393383
oi_cagr_10y,-0.016809189774965816
roe_reported,0.20908173562058524
rnoa_econ,0.215643213216814
roce_econ,0.18753209264192
roic_reported,0.1327797471086812
net_profit_margin,0.06698564593301436
asset_turnover,1.2079666753449623
equity_multiplier,2.5839219643457785
flev_econ,-0.0735274014733074
nbc_econ,-0.0367245622119816
spread_econ,0.252367775428795
